2026-01-05 10:45:55,162.162] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/core/retrievers/full_text_retriever.py', reloading)
2026-01-05 16:45:39,517.517] client.py line:668 WARNING: Failed to get info from https://api.smith.langchain.com: ReadTimeout(ReadTimeoutError("HTTPSConnectionPool(host='api.smith.langchain.com', port=443): Read timed out. (read timeout=10.0)")))
2026-01-05 16:46:08,215.215] client.py line:1365 WARNING: Failed to batch ingest runs: LangSmithConnectionError("Connection error caused failure to POST https://api.smith.langchain.com/runs/batch  in LangSmith API. Please confirm your internet connection.. ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')))"))
2026-01-05 16:46:59,762.762] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 16:46:59] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 16:47:53,049.049] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:48:15,359.359] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:48:15,383.383] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:48:20,999.999] client.py line:668 WARNING: Failed to get info from https://api.smith.langchain.com: ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))))
2026-01-05 16:48:25,051.051] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 16:48:25] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 16:50:49,719.719] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:51:14,588.588] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:51:14,620.620] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:51:20,186.186] client.py line:668 WARNING: Failed to get info from https://api.smith.langchain.com: ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))))
2026-01-05 16:51:22,040.040] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 16:51:22] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 16:52:46,885.885] _internal.py line:97 INFO: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000)
2026-01-05 16:52:46,886.886] _internal.py line:97 INFO: [33mPress CTRL+C to quit[0m)
2026-01-05 16:52:46,889.889] _internal.py line:97 INFO:  * Restarting with stat)
2026-01-05 16:53:05,556.556] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:53:05,628.628] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:53:11,556.556] client.py line:668 WARNING: Failed to get info from https://api.smith.langchain.com: ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))))
2026-01-05 16:53:15,690.690] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 16:53:15] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 17:05:52,925.925] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 17:05:55,681.681] _internal.py line:97 INFO:  * Restarting with stat)
2026-01-05 17:06:22,893.893] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 17:06:22,937.937] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 17:06:34,188.188] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 17:06:34] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 17:11:13,625.625] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 17:11:13] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 17:18:06,141.141] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 17:18:06] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 17:21:03,542.542] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 17:21:03] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 17:23:15,773.773] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 17:23:15] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 17:24:15,022.022] _internal.py line:97 INFO: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000)
2026-01-05 17:24:15,024.024] _internal.py line:97 INFO: [33mPress CTRL+C to quit[0m)
2026-01-05 17:24:15,027.027] _internal.py line:97 INFO:  * Restarting with stat)
2026-01-05 17:24:37,401.401] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 17:24:37,455.455] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 17:25:34,105.105] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 17:25:34] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
